城市名,去过的人数,热门景点,城市图片url
成都,80482人去过,[成都大熊猫繁育研究基地、 宽窄巷子、 武侯祠、 杜甫草堂、 金沙遗址博物馆、 成都海昌极地海洋公园、 成都欢乐谷、 春熙路、 成都动物园、 蜀风雅韵川剧院、 国色天乡童话世界、 浩海立方海洋馆、 文殊院、 秀丽东方、 青羊宫、 松鼠部落森林假日公园、 中国泰迪熊博物馆、 漫花庄园、 天府熊猫塔、 四川博物院],https://pic.qyer.com/album/user/1503/17/QExVQRsAYUg/index/cover
广州,77884人去过,[长隆野生动物世界、 广州塔、 长隆欢乐世界、 珠江夜游、 沙面、 岭南印象园、 宝墨园、 正佳极地海洋世界、 百万葵园、 黄石公园、 珠江夜游天字码头、 中国科学院华南植物园、 陈家祠、 从化碧水湾温泉、 珠江夜游广州塔码头、 越秀公园、 珠江夜游大沙头码头、 上下九步行街、 广州动物园、 石室圣心大教堂],https://pic.qyer.com/album/user/861/28/SU9UQBICYg/index/cover
杭州,74351人去过,[杭州灵隐（飞来峰）景区、 灵隐寺、 杭州动物园、 西湖游船、 岳王庙景区、 胡雪岩故居、 三潭印月、 虎跑公园、 杭州海底世界、 清河坊街、 京杭大运河、 花港观鱼、 白堤、 南宋御街、 云栖竹径、 大喇叭、 杭州云曼温泉、 纪念公园、 钱塘江、 杭州植物园],https://pic.qyer.com/album/user/1503/18/QExVQRsPZ0A/index/cover
南京,73649人去过,[牛首山文化旅游区、 红山森林动物园、 南京海底世界（尧泰汉海集团）、 大报恩寺遗址公园、 瞻园、 秦淮河画舫、 阅江楼、 夫子庙秦淮河风光带、 侵华日军南京大屠杀遇难同胞纪念馆、 栖霞山、 美龄宫、 珍珠泉风景区、 六朝博物馆、 外秦淮河画舫、 鸡鸣寺、 江宁织造博物馆、 圣保罗教堂、 雨花台、 梅花山、 南京长江大桥],https://pic.qyer.com/album/user/861/28/SU9UQBIAYg/index/cover
厦门,70748人去过,[厦门大学、 胡里山炮台、 环岛路、 曾厝垵、 南普陀寺、 厦门园林植物园、 厦门科技馆、 厦门方特梦幻王国、 中山路步行街、 鹭江夜游、 钟鼓索道、 帆汇帆船出海体验、 灵玲马戏城、 环岛观光巴士、 云上厦门观光厅、 观音山梦幻海岸、 鼓浪屿、 厦门方特东方神画、 集美学村、 厦门园林博览苑],https://pic.qyer.com/album/user/1071/98/QElSQxMPaEk/index/cover
深圳,68252人去过,[世界之窗、 东部华侨城、 深圳欢乐谷、 锦绣中华民俗文化村、 深圳野生动物园、 东部华侨城大侠谷、 南澳、 地王观光、 大梅沙海滨公园、 东部华侨城茶溪谷、 青青世界、 欢乐海岸海洋奇梦馆、 鬼屋、 观澜山水田园旅游文化园、 光明农场大观园、 深圳欢乐海岸、 小梅沙、 天坛、 海上田园、 西冲],https://pic.qyer.com/album/user/1503/19/QExVQRsOYUE/index/cover
重庆,65777人去过,[长江索道、 解放碑步行街、 重庆园博园、 黑山谷风景区、 重庆欢乐谷、 梦幻奥陶纪景区、 汉海海洋公园、 重庆统景温泉风景区、 酉阳桃花源、 渣滓洞、 云阳龙缸国家地质公园、 融汇温泉城、 四面山、 丰都鬼城、 白帝城景区、 重庆动物园、 朝天门广场、 金源方特科幻公园、 南山植物园、 欢乐海底世界],https://pic.qyer.com/album/user/1503/20/QExVQRgHYE0/index/cover
三亚,64346人去过,[蜈支洲岛、 天涯海角、 亚龙湾热带天堂森林公园、 南山文化旅游区、 亚龙湾、 三亚千古情景区、 阿浪海鲜第一市场、 西岛、 亚特兰蒂斯失落的空间水族馆、 大东海、 大小洞天、 三亚湾、 亚特兰蒂斯水世界、 南山寺、 海棠湾、 凤凰岭海誓山盟景区、 夜游三亚湾、 亚龙湾海底世界、 海底漫步、 三亚海昌梦幻海洋不夜城],https://pic.qyer.com/album/user/861/28/SU9UQBIAaQ/index/cover
苏州,62762人去过,[寒山寺、 留园、 山塘古街、 华谊兄弟电影世界、 苏州古运河、 四季悦水游村、 苏州博物馆、 白马涧龙池景区、 平江路历史街区、 天池山、 金鸡湖、 穹窿山、 诚品书店、 观前街、 苏州湾王焰温泉、 苏州太湖国家湿地公园、 沧浪亭、 阳山温泉度假山庄、 苏州上方山国家森林公园、 金鸡湖游船],https://pic.qyer.com/album/user/1503/23/QExVQRgEYU8/index/cover
余杭,121人去过,[农夫乐园、 江南水乡文化博物馆、 东明山、 鱼佬大生态农庄、 羊锅村、 翠羊湾休闲农庄、 秀山美地],https://pic.qyer.com/album/user/938/21/SEpdQBsCYg/index/cover
班戈,120人去过,[色林措、 高原欢聚饭馆、 夜烤吧、 念家中式快餐],https://pic.qyer.com/album/user/938/41/SEpdRhsEaA/index/cover
叶城,120人去过,[新藏线零公里起点纪念碑、 东串北烧烤、 壹品土鸡馆、 疆聚缘酒家、 叶城县盼望INTIZAR大盘鸡店、 叶城县尚远风味餐厅],https://pic.qyer.com/album/user/938/23/SEpdQBkCZw/index/cover
尼玛,120人去过,[当惹雍错、 文部北村、 文部南村、 象雄王国遗址],https://pic.qyer.com/album/user/3606/36/Qk9VRBkBZko/index/cover
比如,120人去过,[比如骷髅墙、 羊秀自然风景区、 达木寺],https://pic.qyer.com/album/user/3329/47/QkpXSx4AYUg/index/cover
红河州,119人去过,[城子古村、 钟秀山公园、 重庆小辣椒火锅、 火锅故事、 天方夜谈茶餐厅、 私房炒菜、 小龙坎火锅店、 马路边边麻辣烫(泸西店)、 朝天门老火锅、 飘香园(青年路店)、 鸿顺牛肉馆(爱家酒店店)、 石龙广场、 宝迪莱丝、 快乐星汉堡、 北京鲁华肥牛(泸西店)、 泸西溢香阁火锅店、 台北帮厨(泸西店)、 新天地美食城、 茶马古道火塘老火锅、 辣不怕煳辣鱼],https://pic.qyer.com/album/user/938/37/SEpdQR0GYw/index/cover
永春,119人去过,[北溪文苑风景区、 百丈岩风景区、 荔枝公园、 清源洞、 普济寺风景区、 无极殿、 福建海峡蓝天生态庄园、 永春东溪大峡谷、 云河谷、 仙夹镇尾池角基督教堂、 永春丘峰岩、 泉州天沐温泉、 阿发伯台湾烧仙草(金龙城店)、 小猴子台湾茶主题餐厅、 香葱牛肉店、 芸香树、 一都农家菜、 灵应宫戏剧场、 天龙寺、 蓬壶百丈轩山庄],https://pic.qyer.com/album/user/938/42/SEpdRhgHYA/index/cover
湘潭,118人去过,[盘龙大观园、 乌石、 松山一号楼、 撒野湾景区、 彭德怀故居、 齐白石纪念馆、 湘潭农博园、 湘潭秋瑾故居、 水府庙小游园、 韶峰古寺、 黄土山景区、 湖南水府旅游区、 陈赓故居、 黄公略故居、 哆哆基(乌石店)、 湘潭文庙、 宝塔岭高峰塔、 韶湖假日小镇、 湖南工程学院、 云门寺],https://pic.qyer.com/album/user/938/40/SEpdRhoBYw/index/cover
黄石,117人去过,[仙岛湖风景区、 磁湖、 黄荆山、 黄石国家矿山公园、 中百超市(黄石开发区店)、 汤哥粥妹(杭州西路店)、 黄石婚礼中心宴会厅、 新青龙美食城(杭州西路店)、 正宗兰州拉面(中央商业街)、 七峰山、 仙龙岛、 五彩广场、 南山头革命旧址、 豪门超市、 遇见花开、 楚王面、 必上梁山、 磁湖山庄-中餐厅、 福寿阁、 百和餐厅(团城山店)],https://pic.qyer.com/album/user/938/37/SEpdQR0AZg/index/cover
萨迦,117人去过,[萨迦寺、 萨迦县、 拉堆珠峰餐馆、 果列玛寺、 自巴寺、 拉孜寺、 东嘎曲德寺、 柳乡佰顺平价超市、 增寺、 乌坚拉康寺、 清真老字号西宁饭店、 拉孜曲德寺、 东北饺子家常菜、 吉定林卡、 恰雄寺、 第一图书馆],https://pic.qyer.com/album/user/1751/46/QE5QQx4BY0k/index/cover
阳山,117人去过,[广东第一峰、 神峰关生态旅游度假区、 北山寺、 石林瀑布、 小江银杏园、 毛记鱼羊鲜、 韩愈纪念馆、 龙宝洞、 秤架影剧院、 大江古庙、 石门古庙、 水口连江画廊、 阳山县阳禺粤乐社、 凯记果场鸡、 阳山县天府园、 蜂蛹食府、 发仔农家乐、 贤令山、 龙凤温泉、 石坑崆景区],https://pic.qyer.com/album/user/938/33/SEpdQRkPZQ/index/cover
简阳,117人去过,[简阳白塔园、 三岔湖风景区、 地藏殿、 简阳龙山生态旅游山庄、 镜水山庄、 三岔湖国际垂钓露营基地、 聚得山庄],https://pic.qyer.com/album/user/3721/65/Qk5XQxwCZEA/index/cover
张北,116人去过,[张北草原、 张北草原天路、 佳选超市、 波波家常菜、 胡子板面、 闵记烧饼、 食全食美面食店、 禾禾木烧烤、 小眼私房菜、 福蒸面食店、 中国兰州拉面、 恒丰酒店、 二霞超市副食门市部、 乡约小吃铺、 永义批零超市、 晋香缘面馆、 兴隆饭店、 贝乐驰老砂锅、 馋了嘴的猫、 江燕卤肉店],https://pic.qyer.com/album/user/938/29/SEpdQBMOZQ/index/cover
丁青,116人去过,[布托湖],https://pic.qyer.com/album/user/938/27/SEpdQB0EaA/index/cover
罗源,116人去过,[罗源湾海洋世界、 禾山、 海上高尔夫、 陈太尉宫、 畲山水景区、 经济快餐、 兰州马家拉面、 东辉饭店、 只为你而来、 龙香饭店(江滨南路)、 沙县小吃(盛南庄路店)、 隐岩禅寺、 天猫小店陈云批发超市、 简爱美食、 麦思客、 和盛记滨海特色小吃、 食遇烤肉拌饭、 鼎鼎红中式快餐、 老面馆、 罗源湾浮潜馆],https://pic.qyer.com/album/user/3659/44/Qk9QSx4DY0w/index/cover
郎木寺,517人去过,[郎木寺、 格尔底寺、 红石崖、 郎木寺镇天葬台、 甘丹赛赤寺、 阿妈拉藏餐吧、 缘滋缘味、 丁义餐厅、 伊盛苑餐馆、 清真乃拜小吃],https://pic.qyer.com/album/user/938/36/SEpdQRwGZw/index/cover
德清,515人去过,[露天剧场、 裸心堡、 下渚湖康城野郊户外营地、 德清下渚湖湿地公园、 世外桃源农庄、 下渚湖湿地、 欢乐牧场、 芦花荡公园、 新市古镇、 清凉亭、 悠然九希、 蚕乐谷、 德信·玫瑰庄园、 莫干山观云高尔夫球会、 碧坞龙潭、 皇后饭店、 驾仙桥、 集乡客鸭脖、 正新鸡排(新市店)、 莫干山玉家小吃店],https://pic.qyer.com/album/user/938/41/SEpdRhsCZw/index/cover
龙海,515人去过,[街心公园、 埭美古村、 白塘湾旅游度假城古火山口景区、 南炮台、 火山岛地学博物馆、 凤山寺、 浯屿岛、 百花村、 灵应宫、 鑫辉温泉、 厦大漳州校区图书馆、 五里亭、 海门岛、 奥蓝途双鱼岛房车度假营地、 有渔、 1杯牛排杯(休闲餐厅)、 啊Q沙县小吃、 新潮饭店、 滨海旅社海鲜饭店、 车马驿咖啡馆],https://pic.qyer.com/album/user/3367/65/QkpTRRwCaEg/index/cover
休宁,507人去过,[齐云山、 木梨硔、 古城岩、 洞天福地、 三溪大峡谷、 自由家黄山齐云营地、 徽州大峡谷、 玉虚宫、 岭脚村、 望仙亭、 祖源村、 养生河、 见明堂民俗博物馆、 龙田乡、 源芳大峡谷漂流、 中国状元文化大观园、 木梨硔八仙客栈、 大熊猫生态乐园、 徽州山越民俗风情园、 源芳大峡谷风景区],https://pic.qyer.com/album/user/938/27/SEpdQB0HZQ/index/cover
马尔康,503人去过,[一个农庄、 马尔康县、 卓克基土司官寨文化旅游景区、 西索村、 梦笔山、 直波碉群、 雅克夏雪山、 梭磨河峡谷、 西索民居、 毗卢圣窟、 太子岭滑雪场、 昌列寺圣山公园、 时尚代码、 马尔康多肉植物园、 早克基小吃、 嘉绒小吃(达萨街店)、 麻辣串串香、 我家厨房、 乡忆食坊、 卓克基嘉绒藏族文化旅游区],https://pic.qyer.com/album/user/938/21/SEpdQBsGZA/index/cover
库车,499人去过,[库车大峡谷、 库车王府、 天山神秘大峡谷、 库车老城、 龟兹古城遗址、 双龙池、 库车大巴扎、 库车清真大寺、 克孜尔尕哈烽燧遗址、 小龙池、 库车大馕城、 库车大馕城、 苏巴什照怙厘大寺遗址、 莎拉伊(热斯坦路)、 喀哈尔江风味餐厅、 福源超市(文化西路店)、 清雅斋美食坊、 龟兹迪亚尔快餐厅、 艾迪亚尔快餐厅、 迎宾肉馅家常饭馆],https://pic.qyer.com/album/user/938/42/SEpdRhgDaA/index/cover
金川,492人去过,[观音桥、 金川县、 情人海、 大树子沟、 沙耳乡、 土基钦波观音庙、 金川镇、 红军革命纪念基地、 广法寺、 特色烧烤、 康明眼镜验配中心、 灌州宽板凳砂锅串串香、 陋室茗、 砂锅蹄花、 开碗笑、 洪珍超市、 蜀烩冒菜、 聚旺角超市、 香满园面馆、 广汉小吃店],https://pic.qyer.com/album/user/1260/21/QEtTQhgGZ0E/index/cover
赤峰,489人去过,[乌兰布统、 乌兰布统影视基地、 黄岗梁、 达来诺尔、 青山国家地质公园、 美林谷滑雪场、 翁旗玉龙沙湖、 克什克腾国家地质公园、 灯笼河草原、 巴林左旗召庙、 军马场、 热水温泉、 辽庆陵、 达里湖南岸、 克什克腾、 靓点购物中心、 佰纳超市、 印象草原肉饼王、 佳美批发超市、 鸿起顺蒙餐涮羊肉],https://pic.qyer.com/album/user/1293/92/QEtcQRMFZkA/index/cover
山南,489人去过,[青朴、 雅鲁藏布江黑颈鹤保护区、 贡嘎曲德寺、 泽当、 贡布日神山、 纳那木、 达布夏珠林寺、 桑耶寺黑塔、 色卡古托寺(赛卡古托寺)、 沃卡温泉、 乌孜大殿、 灵塔、 哲古草原、 洛卓沃龙寺(卓瓦隆寺)、 桑耶镇、 雅砻河、 莫寺、 秦川名吃、 贡嘎县、 满分餐馆],https://pic.qyer.com/album/user/938/25/SEpdQB8PZQ/index/cover
新昌,488人去过,[放生池、 薰衣草庄园、 天姥山、 穿岩十九峰、 大佛寺景区、 城隍庙、 射雕村、 七盘仙谷、 大悲院、 龛外大殿、 沃洲湖景区、 月老祠、 飞龙栈道、 百丈岩、 十九峰、 逍遥楼、 双林石窟、 南岩寺景区、 天烛仙境林业观光园、 重阳宫],https://pic.qyer.com/album/user/938/22/SEpdQBgHYA/index/cover
鱼池乡,487人去过,[捷安特 日月潭站],https://static.qyer.com/images/place/no/poi_200_133.png
睢宁,482人去过,[欢乐时光、 钱币博物馆、 牡丹园、 水月禅寺、 锡安堂、 彩虹公园、 张夸基督教会、 花满堂观赏牡丹园、 睢宁县人民路基督教堂、 成侯广场、 地藏禅寺、 花径公园、 梁集基督教堂、 中倪村文化广场、 超哥烤肉筋、 美的早点、 阳宇小牛馆、 纳奇比萨(步行街店)、 小螺号柳州螺蛳粉(睢宁店)、 馋嘴猫脆皮鸡饭烤肉拌饭],https://pic.qyer.com/album/user/938/22/SEpdQBgEYQ/index/cover
郴州,479人去过,[高椅岭、 仰天湖大草原、 莽山森林温泉、 苏仙岭、 飞天山、 兜率岩、 九龙江国家森林公园、 阳山古村、 女排基地、 仙乐乡村旅游区、 飞水寨、 南国天山大草原、 热水河、 野鸭湖农庄、 嘉禾、 寿佛、 爱莲湖、 湘南年关暴动旧址、 彬州王仙岭旅游区、 小埠古村],https://pic.qyer.com/album/user/938/37/SEpdQR0GYA/index/cover
