img,introduction,title
//img2.chinadaily.com.cn/images/202302/10/63e60f33a31057c4b4b4e4d8.jpeg,据中国载人航天工程办公室介绍，2月10日0时16分，神舟十五号航天员费俊龙、邓清明、张陆密切协同，经过约7小时的出舱活动，圆满完成了梦天舱外扩展泵组安装等多项任务,每日一词∣出舱活动 extravehicular activities (EVAs)
//img2.chinadaily.com.cn/images/202302/10/63e602f2a31057c4b4b4e428.jpeg,随着更好统筹疫情防控和经济社会发展，我国实体商业人气回暖，线上零售增势不减，餐饮、电影票房复苏强劲，节日市场繁荣有序。,服务业消费复苏开局强劲
//img2.chinadaily.com.cn/images/202302/10/63e600c1a31057c4b4b4e3db.jpeg,今日播报内容：疫情影响远未结束 美国劳工缺勤率创历史新高；IMF预测： 2023年英国将是唯一出现经济萎缩的 G7 经济体。,双语新闻播报（February 10）
//img2.chinadaily.com.cn/images/202302/14/63eafd38a31057c4b4b515b2.jpeg,用“非理性”这个词来形容这种情况也许再合适不过了。当一个男孩疯狂地恋爱时，他会失去冷静、镇定和控制力。,Under a spell?
//img2.chinadaily.com.cn/images/202302/10/63e65c7aa31057c4b4b4e88d.jpeg,“鸡蛋里挑骨头”，汉语俗语，人们常用这句话来比喻“故意挑毛病、吹毛求疵（look for a flaw which doesn’t exist）。,一课译词：鸡蛋里挑骨头
//img2.chinadaily.com.cn/images/202302/09/63e4b77aa31057c4b4b4d01a.jpeg,2月7日，一列搭载19个冷链集装箱、286吨新鲜蔬菜的中老铁路国际货物列车从昆明王家营西集装箱中心站驶出，预计55小时后到达泰国曼谷。,每日一词∣“中老泰”全程铁路运输往返班列 China-Laos-Thailand round-trip freight train
//img2.chinadaily.com.cn/images/202302/09/63e4bfb8a31057c4b4b4d0d8.jpeg,据中国载人航天工程办公室消息，神舟十五号航天员乘组将于近日择机执行第一次出舱活动。,神舟十五号航天员乘组将于近日择机执行第一次出舱活动
//img2.chinadaily.com.cn/images/202302/09/63e4fb03a31057c4b4b4d211.jpeg,“打脸”，网络用语，字面意思是“a slap in the face”，通常指自己说了某句话或扬言做某件事后却没有履行。,一课译词：打脸
//img2.chinadaily.com.cn/images/202302/09/63e446b8a31057c4b4b4c45e.jpeg,近日，中共中央、国务院印发了《质量强国建设纲要》。《纲要》称，建设质量强国是推动高质量发展的重要举措。,每日一词∣高质量发展 high-quality development
//img2.chinadaily.com.cn/images/202302/09/63e48807a31057c4b4b4cdca.jpeg,美国在历史上实行“医学种族主义”的做法使得少数族裔不信任现存医疗体系，从而导致临床试验少数族裔样本不足。,临床试验参与者非裔仅占8%，美国医学种族主义令少数族裔对医疗系统失去信任
//img2.chinadaily.com.cn/images/202302/09/63e44112a31057c4b4b4c389.jpeg,看 BBC英语教学视频，学习在回顾过去一年时常会用到的英语表达。,回顾过去一年时可使用的语句
//img2.chinadaily.com.cn/images/202302/08/63e37681a31057c4b4b4bdf3.jpeg,在这里，common ground指的是共同的利益。换句话说，对双方都有利。,Common ground?
//img2.chinadaily.com.cn/images/202302/08/63e366a5a31057c4b4b4bceb.jpeg,今日播报内容：旅美大熊猫“乐乐”突然离世；新年一个月，美国枪击案创纪录。,双语新闻播报（February 8）
//img2.chinadaily.com.cn/images/202302/08/63e36cd3a31057c4b4b4bd7b.jpeg,专家表示，此举将进一步优化新能源汽车使用环境，推动产业高质量发展。,公共领域车辆全面电动化先行区试点启动
//img2.chinadaily.com.cn/images/202302/07/63e22126a31057c4b4b4ab21.jpeg,“唱白脸”，比喻在解决问题的过程中，充当严厉或令人讨厌的角色（pretend to be harsh and severe）。,一课译词：唱白脸
//img2.chinadaily.com.cn/images/202302/07/63e21dc3a31057c4b4b4aaf2.jpeg,美、中、韩分列元宇宙相关专利申请数量全球前三。中国元宇宙相关专利申请数量达14291件，全球占比近30%。,中国元宇宙相关专利申请数量全球第二
//img2.chinadaily.com.cn/images/202302/08/63e2fadea31057c4b4b4b25d.jpeg,2月6日起，我国试点恢复中国公民赴20个国家的出境团队旅游，其中包括泰国、马尔代夫、阿联酋、俄罗斯和新西兰等国。,每日一词∣出境团队旅游 outbound group travel
//img2.chinadaily.com.cn/images/202302/07/63e1e050a31057c4b4b4a5a7.jpeg,2月6日零时起，内地与港澳人员往来全面恢复。当天，深圳皇岗、罗湖、莲塘等口岸陆续全面“开闸”，内地与香港间陆路口岸全面恢复通行。,内地与港澳人员往来全面恢复
//img2.chinadaily.com.cn/images/202302/07/63e19b88a31057c4b4b499ff.jpeg,研究人员通过研究多酚与氨基酸的相互作用，发现将两者结合使用对抗细胞炎症的效果是多酚单独抗氧化效果的两倍。,研究：咖啡加奶更健康，抗氧化抗炎效果或翻倍
//img2.chinadaily.com.cn/images/202302/06/63e0cfbda31057c4b4b49355.jpeg,今日播报内容：推动北京城市副中心建设和通州区与北三县协同发展；烹食噬人鲨，网红博主被罚；美国人口中心正在持续南移。,双语新闻播报（February 6）
//img2.chinadaily.com.cn/images/202302/06/63e0c486a31057c4b4b492b7.jpeg,2月4日晚，“纪念北京冬奥会成功举办一周年系列活动”启动仪式在北京首钢冰球馆举行。,每日一词∣北京冬奥会成功举办一周年纪念活动 first anniversary celebration of the Beijing 2022 Olympic Winter Games
//img2.chinadaily.com.cn/images/202302/06/63e0bf12a31057c4b4b4926e.jpeg,“和颜悦色”，意思是和蔼喜悦的神色，形容态度温和亲切。可以翻译为“with a kind and pleasant countenance。”,一课译词：和颜悦色
//img2.chinadaily.com.cn/images/202302/06/63e0cb86a31057c4b4b4931f.png,中国海关总署发布的数据显示，2022年中国货物贸易进出口总值再创历史新高。,我国将加强贸易合作 推动出口产业增长
//img2.chinadaily.com.cn/images/202302/03/63dcd018a31057c4b4b46555.jpeg,在北京冬奥会成功举办一周年之际，国际奥委会1日在其官方网站头条位置刊文庆祝。,国际奥委会发文庆祝北京冬奥会成功举办一周年
//img2.chinadaily.com.cn/images/202302/03/63dcbbeaa31057c4b4b462fd.jpeg,今日播报内容：美国孟菲斯市黑人男子遭警察殴打死亡引众怒；能源成本飙升 英国威尔士超三成公共泳池或关门。,双语新闻播报（February 3）
//img2.chinadaily.com.cn/images/202302/03/63dc7887a31057c4b4b45dde.jpeg,《科学报道》杂志发布的一项研究显示，科学家通过老鼠实验发现，挖鼻孔可使肺炎衣原体通过鼻腔进入大脑，攻击中枢神经系统。,警惕！研究发现：挖鼻孔或增加患痴呆症风险
//img2.chinadaily.com.cn/images/202302/03/63dc78a3a31057c4b4b45de8.jpeg,“一根筋”指性格偏执、固执（stubborn），常用来形容某些人做事死板不开窍、不知变通，可以翻译为“one-track minded”。,一课译词：一根筋
//img2.chinadaily.com.cn/images/202302/02/63db9731a31057c4b4b4524e.jpeg,全国文化产业保持平稳增长态势，文化新业态行业发展韧性持续增强。,每日一词∣文化产业 cultural industry
//img2.chinadaily.com.cn/images/202302/02/63db7619a31057c4b4b450f9.png,世界黄金协会最新发布的报告指出，中国在当今全球黄金市场中的地位与30年前相比发生了翻天覆地的变化。,中国年度黄金消费量较30年前增长5倍
//img2.chinadaily.com.cn/images/202302/02/63db5438a31057c4b4b44e2f.jpeg,怎样用英语礼貌地表示“我不明白”或“麻烦再说一遍”？看 BBC英语教学视频，学一学。,怎样用英语表示“我不明白”
//img2.chinadaily.com.cn/images/202302/01/63da339fa31057c4b4b43d02.jpeg,在兔年春节，发红包这一中国传统习俗正式成为数字人民币的应用场景之一。,数字人民币红包成为中国春节喜庆新元素
//img2.chinadaily.com.cn/images/202302/01/63da3968a31057c4b4b43d1a.jpeg,“节后综合征”，专指许多人在假期结束、生活回归正轨后，所感受到的烦躁、疲倦和时而的忧郁。,一课译词：节后综合征
//img2.chinadaily.com.cn/images/202302/01/63da2c68a31057c4b4b43c3d.jpeg,国家统计局1月31日发布数据，1月份，中国制造业采购经理指数（PMI）为50.1%，比上月上升3.1个百分点。,每日一词∣制造业采购经理指数 manufacturing PMI
//img2.chinadaily.com.cn/images/202302/01/63da1fada31057c4b4b43acb.jpeg,国际货币基金组织（IMF）1月30日发布《世界经济展望报告》更新内容，大幅上调今年中国经济增长预期至5.2%。,IMF大幅上调中国经济增长预期至5.2%
//img2.chinadaily.com.cn/images/202302/01/63d9f912a31057c4b4b43710.jpeg,今日播报内容：2023年春节假期国内旅游出游3.08亿人次；小品《坑》成春晚爆款；罐头为什么保质期这么长。,双语新闻播报（February 1）
//img2.chinadaily.com.cn/images/202302/01/63d9f78aa31057c4b4b436f0.jpeg,根据美国“枪支暴力档案”网站1月29日更新的数据显示，全美今年已发生44起大规模枪击事件。,新年一个月，美国枪击案创纪录
//img2.chinadaily.com.cn/images/202301/31/63d8e7f7a31057c4b4b42a77.jpeg,“抱佛脚”指平时不准备，到时忙应付，可以翻译为“do nothing until the last minute; make a last-minute effort”。,一课译词：抱佛脚
//img2.chinadaily.com.cn/images/202301/31/63d8e5c4a31057c4b4b42a45.png,近日，人民银行印发通知，延续实施碳减排支持工具等三项货币政策工具。此举旨在引导金融机构加大对绿色发展等领域的支持力度。,每日一词∣结构性货币政策工具 structural monetary policy tools
//img2.chinadaily.com.cn/images/202301/31/63d8e3a2a31057c4b4b429ae.jpeg,春节假期期间，红红火火的文旅活动，持续升温的假日经济，彰显着中国发展的活力和韧性，极大提振了市场复苏的信心。,春节黄金周 旅游市场迎来开门红
//img2.chinadaily.com.cn/images/202301/30/63d7961ca31057c4b4b41787.jpeg,“打算盘”指“使用算盘进行数学计算的行为（calculate on an abacus）”。人们也用“打算盘”表示“盘算、打主意（scheme）”的意思。,一课译词：打算盘
//img2.chinadaily.com.cn/images/202301/30/63d79570a31057c4b4b41751.jpeg,在三年抗击新冠肺炎疫情斗争中，中国在经济发展和疫情防控方面取得了突出成绩，其作为世界经济增长重要动力源的地位得到巩固。,中国经济表现在全球仍然突出
//img2.chinadaily.com.cn/images/202301/30/63d78a2fa31057c4b4b416b9.png,通州区与北三县是建设北京城市副中心的重要支撑部分，区域内经济社会联系十分紧密，推进一体化高质量发展，有利于在更大空间范围优化资源配置。,推动北京城市副中心建设和通州区与北三县协同发展
//img2.chinadaily.com.cn/images/202302/01/63d9f472a31057c4b4b436e6.jpeg,国家电影局1月28日发布的数据显示，2023年春节档电影票房接近67.6亿元，位列中国影史春节档票房榜第二位。,每日一词∣春节档电影票房 movie box office revenue during Spring Festival holiday
//img2.chinadaily.com.cn/images/202301/30/63d7805aa31057c4b4b4146f.jpeg,今日播报内容：英国英格兰地区10月起将禁用一次性塑料餐具；马斯克一年损失1820亿美元，打破吉尼斯世界纪录。,双语新闻播报（January 30）
//img2.chinadaily.com.cn/images/202301/30/63d70880a31057c4b4b4061b.jpeg,英国威尔士地区游泳管理机构负责人提醒，威尔士地区500个公共游泳池中，近三分之一可能因高额能源账单而关闭。,能源成本飙升！英国威尔士超三成公共泳池或关门
//img2.chinadaily.com.cn/images/202301/29/63d64472a31057c4b4b40280.jpeg,“跑腿”，本意指外出奔走做杂事（legwork），或帮人办事（run an errand for someone）。,一课译词：跑腿
//img2.chinadaily.com.cn/images/202301/28/63d4f644a31057c4b4b3fb3f.jpeg,有时，亲戚朋友送给我们的礼物并不合我们的心意，但我们不会直接说：“I don't like it.”,收到不喜欢的礼物时，可以这样说
//img2.chinadaily.com.cn/images/202301/28/63d4f22da31057c4b4b3fb1b.jpeg,“抱某人大腿”与英语俚语“ride on someone's coattails”意思相近，特别指主动去借助别人的优势。,一课译词：抱大腿
//img2.chinadaily.com.cn/images/202301/28/63d4bbf7a31057c4b4b3f758.jpeg,经文化和旅游部数据中心测算，今年春节假期全国国内旅游出游3.08亿人次，同比增长23.1%。,2023年春节假期国内旅游出游3.08亿人次
//img2.chinadaily.com.cn/images/202301/28/63d46582a31057c4b4b3ec9f.jpeg,十天过去了，天天练，累成狗，怎么一点变化也没有？到底健身多久才能看见效果呢？这取决多种因素。,健身多久能见效果，哪些训练更适合你？节后减肥人必看
//img2.chinadaily.com.cn/images/202301/21/63cb43c6a31057c4b4b3bf35.jpeg,国务院新闻办公室1月19日发布《新时代的中国绿色发展》白皮书，系统总结了十年来中国绿色发展的举措与成效，阐述了中国绿色发展的核心理念和实践经验。,每日一词∣新时代的中国绿色发展 China's green development in the new era
//img2.chinadaily.com.cn/images/202301/21/63cb2b03a31057c4b4b3bdd3.jpeg,年夜饭，又称团圆饭，特指年尾除夕（春节前一天）的阖家聚餐。可以翻译为“the Spring Festival Eve meal”。,一课译词：年夜饭
//img2.chinadaily.com.cn/images/202301/28/63d4b203a31057c4b4b3f6a7.jpeg,随着新一轮科技革命和产业变革深入发展，数字经济已成为国民经济发展的新动能。,数字经济为经济复苏注入新动能
//img2.chinadaily.com.cn/images/202301/20/63c9feada31057c4b4b3b47b.jpeg,“你真好”、“算我欠你个人情”用英语怎么说？看 BBC英语教学视频，学几个表示“谢谢”的地道英语说法。,英语中表达感谢的方法
//img2.chinadaily.com.cn/images/202301/19/63c90f0aa31057c4b4b3a585.jpeg,“出气筒”，指无充分的理由或恰当的原因而被人当做发泄怒火的“工具”。可以翻译为use somebody as a punchbag。,一课译词：出气筒
//img2.chinadaily.com.cn/images/202301/19/63c90ea1a31057c4b4b3a56d.jpeg,工业和信息化部1月18日表示，中国有信心有决心也有能力应对各种艰难挑战，保持工业经济平稳增长。,工信部：2023年全力促进工业经济平稳增长
//img2.chinadaily.com.cn/images/202301/19/63c8f2daa31057c4b4b3a1d9.jpeg,今日播报内容：电视剧《三体》开播火上热搜；多地发放新春消费券促进消费。,双语新闻播报（January 19）
//img2.chinadaily.com.cn/images/202301/20/63c9f5f4a31057c4b4b3b2c2.jpeg,携程发布《2023年春节旅游市场预测报告》显示，春节期间旅游产品的预订量同比去年上涨45%，人均旅游花费同比提升53%。,告别“就地过年” 春节长线游订单大增72%
//img2.chinadaily.com.cn/images/202301/19/63c8ded2a31057c4b4b39f4e.jpeg,住房和城乡建设部日前表示，今年将新开工改造城镇老旧小区5.3万个以上，以打造更加宜居的城市。,每日一词∣城镇老旧小区改造 renovation of old urban residential communities
//img2.chinadaily.com.cn/images/202301/19/63c8a5c3a31057c4b4b39a3a.jpeg,世界经济论坛2023年年会1月16日在瑞士达沃斯拉开帷幕。能源危机、高通胀、地缘政治冲突等一系列困扰人类的问题成为全球关注的焦点。,每日一词∣世界经济论坛年会 World Economic Forum Annual Meeting
//img2.chinadaily.com.cn/images/202301/18/63c7b430a31057c4b4b38b45.jpeg,“泼脏水”，泛指对人造谣污蔑，刻意中伤（slander），与英文习语“hurl/throw/sling mud at somebody”意思相近。,一课译词：泼脏水
//img2.chinadaily.com.cn/images/202301/18/63c7ac07a31057c4b4b38ac8.jpeg,尽管外部环境复杂严峻，世界经济陷入滞胀风险上升，国内经济恢复基础尚不牢固，但是我国经济韧性强、潜力大、活力足、长期向好基本面没有改变。,内需加速恢复 多位经济学家预判经济回暖
//img2.chinadaily.com.cn/images/202301/17/63c66cd6a31057c4b4b37868.jpeg,through the roof 这个短语的含义不是指“从房顶上经过”，其正确的含义是：go through the roof  飞涨；激增。,Through the roof?
//img2.chinadaily.com.cn/images/202301/17/63c6615ba31057c4b4b37780.jpeg,约定好的聚会最怕被人 “放鸽子”。日常生活中，如果对方突然失约，你会选择原谅，拉黑，还是再也不约？,一课译词：放鸽子
//img2.chinadaily.com.cn/images/202302/01/63d9fd0fa31057c4b4b4371a.jpeg,三分之二受访首席经济学家预计2023年会出现全球性经济衰退，91%的受访者认为2023年美国经济增长前景疲软或极为疲软。,世界经济论坛调查：91%经济学家预测今年美国经济前景疲软
//img2.chinadaily.com.cn/images/202301/17/63c65c08a31057c4b4b376b7.jpeg,今日播报内容：首支霹雳舞国家队正式成立；2022年GDP超两万亿城市已增至7个。,双语新闻播报（January 17）
//img2.chinadaily.com.cn/images/202301/17/63c646baa31057c4b4b37406.jpeg,1月15日，75014次中欧班列运载55箱平地机、装载机、压路机等重型机械，从柳州铁路港鸣笛启程，开往俄罗斯莫斯科。,新年首趟“柳州—莫斯科”中欧班列开行
//img2.chinadaily.com.cn/images/202301/17/63c65d8ea31057c4b4b37721.jpeg,中国汽车工业协会发布的行业数据显示，2022年，中国品牌乘用车共销售大约1177万辆，同比增长22.8%，占乘用车销售总量的49.9%，占有率比上年同期提升5.4个百分点。,每日一词∣中国品牌乘用车 Chinese-brand passenger cars
//img2.chinadaily.com.cn/images/202301/16/63c5146da31057c4b4b362fd.jpeg,近日，国务院促进中小企业发展工作领导小组办公室印发《助力中小微企业稳增长调结构强能力若干措施》。,国务院推出15条举措助力中小微企业健康发展
//img2.chinadaily.com.cn/images/202301/16/63c51210a31057c4b4b362ed.jpeg,2022年12月，中国印发《国家公园空间布局方案》，明确提出到2035年基本建成全世界最大的国家公园体系。,每日一词∣世界最大国家公园体系 world's largest national park system
//img2.chinadaily.com.cn/images/202301/16/63c4f45da31057c4b4b360f3.jpeg,英国环境部门近日宣布，英格兰地区将从2023年10月起禁止使用一系列一次性塑料制品，如餐具、盘子和碗，以限制塑料污染。,英国英格兰地区10月起将禁用一次性塑料餐具
//img2.chinadaily.com.cn/images/202301/16/63c4e0a9a31057c4b4b35ee9.jpeg,“露马脚”是一个汉语词语，用于比喻“不小心暴露了隐藏的真相（to reveal a hidden truth carelessly or by mistake）。,一课译词：露马脚
//img2.chinadaily.com.cn/images/202301/14/63c257bfa31057c4b4b34a30.jpeg,“跑龙套”原指在戏曲中扮演配角，后比喻做无关紧要的事，起次要作用（play a minor role），或专做跑腿、服务性工作（be a utility man）。,一课译词：跑龙套
//img2.chinadaily.com.cn/images/202301/14/63c254dda31057c4b4b34a16.jpeg,影评人们表示，高质量且具有票房感召力的电影有助于加速影视行业的复苏，本季总票房预计将超过70亿元。,7部新片定档大年初一！“春节档”你最想看哪部？
//img2.chinadaily.com.cn/images/202301/13/63c11ebca31057c4b4b34040.jpeg,相信在中非双方共同努力下，非洲疾控中心必将为非洲卫生事业和人民健康福祉作出更大贡献。,每日一词∣非洲疾控中心总部项目 Africa Centers for Disease Control and Prevention (Africa CDC) headquarters project
//img2.chinadaily.com.cn/images/202301/13/63c0f1a8a31057c4b4b33b91.jpeg,Safety in numbers 意思是“人多保险，人多势众“。”人数越多，我们在人群中就越有安全感。,Safety in numbers?
//img2.chinadaily.com.cn/images/202301/13/63c0e86ca31057c4b4b33b10.jpeg,今日播报内容：《中国奇谭》两集冲上豆瓣9.6；联合国：臭氧层有望在40年内恢复。,双语新闻播报（January 13）
//img2.chinadaily.com.cn/images/202301/13/63c0e6e6a31057c4b4b33b03.jpeg,当我们感到口渴时，除了可以用单词“thirsty”来表示“口渴”以外，还可以用哪些地道英语表达来告诉他人“我需要来杯喝的”？,怎样用英语说“我渴了”
//img2.chinadaily.com.cn/images/202301/12/63c01b6ba31057c4b4b33158.jpeg,“打水漂”，比喻一个人对某件事投入金钱或者精力，却没有丝毫收益（work or money goes down the drain）。,一课译词：打水漂
//img2.chinadaily.com.cn/images/202301/12/63bfd9f2a31057c4b4b32f53.jpeg,国内首家国家级氢能动力质量监督检验中心1月9日在重庆建成投用。该中心由中国汽车工程研究院股份有限公司投资建设，致力于推动中国氢燃料电池汽车产业发展。,每日一词|国家级氢能动力质量监督检验中心 National Hydrogen Power Quality Inspection and Testing Center
//img2.chinadaily.com.cn/images/202301/13/63c0e462a31057c4b4b33aed.png,春节临近，多地加大力度促消费。其中，发放消费券、开展系列促消费活动成为重要抓手。,多地发放新春消费券促进消费
//img2.chinadaily.com.cn/images/202301/11/63bec181a31057c4b4b31e00.jpeg,“敲门砖”，字面意思指“拣来敲门、门开后即被丢弃的砖头”。常用来比喻世人借以猎取功名的工具。,一课译词：敲门砖
//img2.chinadaily.com.cn/images/202301/11/63be7a90a31057c4b4b31c31.jpeg,2023年1月10日是第三个“中国人民警察节”。 “中国人民警察节”是专门为人民警察队伍设立的节日，是对人民警察队伍为党和人民利益英勇奋斗的充分肯定。,每日一词∣中国人民警察节 Chinese People's Police Day
//img2.chinadaily.com.cn/images/202301/11/63be8252a31057c4b4b31c69.jpeg,2022年，中国平均高温日数16.4天，为1961年有完整气象观测记录以来最多。,2022年中国平均高温日数16.4天 为历史最多
//img2.chinadaily.com.cn/images/202301/11/63be0a11a31057c4b4b31250.jpeg,今日播报内容：西澳大利亚州遭遇'毁灭性'的洪灾；哈里王子爆料哥哥威廉曾对其动手。,双语新闻播报（January 11）
//img2.chinadaily.com.cn/images/202301/11/63bdfc00a31057c4b4b310bb.jpeg,无用信息会给简历扣分，甚至会让你的简历石沉大海。下面这些信息是你应该立刻从简历中删除的。,资深HR建议：简历上千万不要出现这些信息
//img2.chinadaily.com.cn/images/202301/10/63bd322ca31057c4b4b30b99.jpeg,tough it out 意思是面对困境坚持到底，咬紧牙关挺过压力、困难。,Tough it out?
//img2.chinadaily.com.cn/images/202301/11/63bec11ba31057c4b4b31dde.jpeg,“眼中钉”，字面意思是“a sting in the eye”，用来比喻心中最看不惯或恨之入骨的人。,一课译词：眼中钉
//img2.chinadaily.com.cn/images/202301/10/63bd2910a31057c4b4b30b3b.jpeg,据国家公务员局消息，中央机关及其直属机构2023年度考试录用公务员公共科目笔试于1月8日在全国287个城市同时举行，近195万考生考前进行了报名确认、超152万人实际参加考试，参加考试人数与录用计划数之比约为41:1。,每日一词∣国家公务员考试 national civil servant exam
//img2.chinadaily.com.cn/images/202301/10/63bd1cf0a31057c4b4b30abd.jpeg,近日，各地官方陆续公布了2022年经济成绩单。目前GDP超2万亿的城市已经达到了7个，分别是上海、北京、深圳、广州、重庆、苏州和成都。,2022年GDP超两万亿城市已增至7个
//img2.chinadaily.com.cn/images/202301/09/63bbe65ea31057c4b4b2f877.jpeg,“接地气”指一个人的性格态度或行为方式亲善大众，与最广大的人民群众打成一片，可以翻译为“down-to-earth”。,一课译词：接地气
//img2.chinadaily.com.cn/images/202301/09/63bbe5dca31057c4b4b2f859.jpeg,郭树清表示，货币政策加大向民营企业的倾斜力度，保持信贷总量有效增长，推动降低综合融资成本。,郭树清：货币政策加大向民营企业的倾斜力度
//img2.chinadaily.com.cn/images/202301/09/63bbd9c5a31057c4b4b2f77e.jpeg,1月7日（春运第一天）全国铁路、公路、水路、民航共发送旅客3473.6万人次，环比增长11.1%，比2022年同期增长38.9%。,春运首日发送旅客约3474万人次
//img2.chinadaily.com.cn/images/202301/09/63bbd790a31057c4b4b2f74f.jpeg,中国旅游研究院日前发布的《中国冰雪旅游发展报告(2023)》预计，“十四五”末期的2024-2025冰雪季我国冰雪休闲旅游人数有望达到5.2亿人次，我国冰雪休闲旅游收入将达到7200亿元，冰雪旅游将成为冬季旅游和冰雪经济的核心引擎。,每日一词| 冰雪休闲旅游 ice and snow leisure tourism
